userName,score,at,content
Daudi Fadillah,1,2022-04-03 10:39:06,"Tolong untuk para drivernya bisa ditingkatkan lagi, terlalu lama menunggu. Lebih dari 20 menit, telat sampai kerja jadinya"
Hafidh Nur Danar Kusuma,5,2022-04-03 10:34:05,meningkatkan mobilitas dimasa modern ⭐⭐⭐⭐⭐
Hafidh Nur Danar Kusuma,5,2022-04-03 10:34:05,meningkatkan mobilitas dimasa modern ⭐⭐⭐⭐⭐
KUWAT PAMUJI,5,2022-04-03 10:23:09,"ramah, cepat, profesional"
Untung Cah nggununk,5,2022-04-03 10:08:06,ini sanagat membantu sekali
Santoso Ad,1,2022-04-03 10:07:48,Call customer service hotline dipersulit perlu pin. Kalau tidak ada internet orang emergency tidak bisa call customer service dong? GRAB LAYANAN SERVIS TAPI MEMPERSULIT ORANG UNTUK CALL CUSTOMER SERVICE. MEMALUKAN!!
Santoso Ad,1,2022-04-03 10:07:48,Call customer service hotline dipersulit perlu pin. Kalau tidak ada internet orang emergency tidak bisa call customer service dong? GRAB LAYANAN SERVIS TAPI MEMPERSULIT ORANG UNTUK CALL CUSTOMER SERVICE. MEMALUKAN!!
Ubaidillah Ali,1,2022-04-03 10:02:14,"Layanan pengantaran grabfood untuk wilayah amuntai HSU dibatasi jaraknya, sehingga sudah tidak bisa lagi order dari tempat saya yg berjarak 12 km. Saya berharap akan banyak kompetitor grab yang segera masuk ke wilayah HSU seperti GoJek, Maxim DLL, supaya bisa melengkapi kekurangan layanan grab."
Dul Sidoel,4,2022-04-03 09:36:47,Selalu dapet driver jauh dari lokasi. Padahal banyak yang deket. Udah gitu drivernya pada nyantai ga jalan². Seakan ga hargai waktu
purwanti,3,2022-04-03 09:35:49,"Ini kenapa promo grabfood ngga muncul ya, sudah 2 hari ini. Padahal udah update aplikasi"
purwanti,3,2022-04-03 09:35:49,"Ini kenapa promo grabfood ngga muncul ya, sudah 2 hari ini. Padahal udah update aplikasi"
Marsup,5,2022-04-03 09:18:10,santun dan nyaman
chiko nissan,4,2022-04-03 09:08:17,"Driver harusnya tidak diberi akses otomatis nerima orderan. Krn banyak yg gak siap, order food tp driver gak respon2, gak bisa ngubungi merchant, gak bisa cancel sendirr, harus ngubungin call center yg notabene ribet banget, makan waktu hampir 1 jam, blm lg harus order ulang dan nunggu lg. Pernah kejadian ky gitu 3x. Rasanya malah konsumen yg dirugikan"
Lidia hastuti,5,2022-04-03 08:55:55,terima kasih drivernya jg ramah.
Apip Paisal,1,2022-04-03 08:51:46,Saya suka bgt pesen grab.. Dan menggunakan apk grab ini..sampai saya pun nyimpan saldo ovo banyak.. Tapi skrg2 Driver nya banyak alesan.. Seolah-olah gak pingin anter customer.. Kecewa bgt..
Apip Paisal,1,2022-04-03 08:51:46,Saya suka bgt pesen grab.. Dan menggunakan apk grab ini..sampai saya pun nyimpan saldo ovo banyak.. Tapi skrg2 Driver nya banyak alesan.. Seolah-olah gak pingin anter customer.. Kecewa bgt..
Âľëğřę,2,2022-04-03 08:02:41,"Sama sj byk kode promo cuma PHP krn hrs Top up dg ini itu.....ribet hrg krg kompetitif dg app sebelah mlh bs lbh murah promo mudah dipakai ga byk syarat, Grab yg dlu katanya murah sy sampai download tp zonk blm prnh pakai krn wkt cek hrg jatuhnya lbh mahal 2k-5k dr app sblh, yg bikin takut byk drivernya jual akun jd sering ga sama driver maupun plat Nopol dg di aplikasi"
Dhea salsabil Labibah,3,2022-04-03 08:00:39,Daftarnya susah setiap buka udah masuk eh keluar lagi
Hilyaatul 'auliyaa asy syaukaani 'auliyaa,1,2022-04-03 07:24:48,Apalah ni aplikasi masa gk bs buka ada cm mknan aja😒
Desti Saputri,1,2022-04-03 07:08:45,"Kenapa susah bgt nyari driver, saya ulang"" sampai berjam"" tetap saja tidak ada yg konek"
Melisa Parintis,1,2022-04-03 07:03:21,"Grab driver nya kerja lambat, terus toko sudah istirahat/tutup tapi di aplikasi grab toko nya ngga ditutup jadi waktu pesen kami harus nunggu lama karna ngga tau toko tutup, terus kejadian kedua kata driver nya toko ngga dapet pesanan dari grab dan ngga tau kalo ada pesanan dari saya, kecewa sama pelayanan grab yang masih kalah sama pelayanan ubereats/foodpanda taiwan"
Melisa Parintis,1,2022-04-03 07:03:21,"Grab driver nya kerja lambat, terus toko sudah istirahat/tutup tapi di aplikasi grab toko nya ngga ditutup jadi waktu pesen kami harus nunggu lama karna ngga tau toko tutup, terus kejadian kedua kata driver nya toko ngga dapet pesanan dari grab dan ngga tau kalo ada pesanan dari saya, kecewa sama pelayanan grab yang masih kalah sama pelayanan ubereats/foodpanda taiwan"
Channel Danu,5,2022-04-03 06:50:54,"Terbaiklah pokoknya,, tingkat kan terus pelayanan nya dan tolong bantu sejahtera kan driver nya"
Channel Danu,5,2022-04-03 06:50:54,"Terbaiklah pokoknya,, tingkat kan terus pelayanan nya dan tolong bantu sejahtera kan driver nya"
Slamet Riadi,5,2022-04-03 06:11:09,layanan sngt baik & driver yg ramah
Youdi Pontoh,1,2022-04-03 06:06:28,Sangat mengecewakan krna plat nomornya berbeda di app saya pas drivernya tiba tpi platnya berbeda..
Rini Widjayanti,5,2022-04-03 05:43:05,"alhamdulillah, puasa cuaca diluar panas mksh grab tlah membantu kami"
asri warnanti,5,2022-04-03 05:39:22,"Pesenan cepet sampai, dapat diskon lagi, terima kasih Harvest."
sri nursary,5,2022-04-03 04:45:32,terimakasih udh anter sampai tujuan.🙏
Rusmala Nainggolan,5,2022-04-03 04:29:46,Sangat membantu perjalanan saya
Fishing Ceria,1,2022-04-03 04:15:58,"kenapa driver sering pake yg jauh2 bgt,, terus pesen makanan uda habis tetap ada di menu. knpa ga di hapus...jdi terpaksa pesen menu lain yg harusnya bukan mau di beli."
Teten Tri,3,2022-04-03 03:22:26,"Banyak jasa grab suka mencuri,motor,jual ganja, kirim ganja,obat terlarang,mencuri HP,cabul wanita,nama anda sudah jelek, mata dunia, saya harus hati-hati memlih produk, anda harus tambah aplikasi khusus kirim paket yang tebus padang,apa isi barang haram atau bukan ,senjata atau bukan,tambah alat aplikasi tebus padang sangat diperlukan,bisa membantu grab.banyak grab ditangkap oleh polisi gara- gara bahwa barang haram, saya minta maaf"
Risandy,5,2022-04-03 03:08:18,"beli paket data banyak promonya, mantap. Cuman banyak voucher yang gak bisa kepake. Coba bisa, pasti ngedukung anak kost banget"
EZAZA 1717,2,2022-04-03 02:41:46,"Aplikasi dg system tolol.. update terus, nyari untung mulu.."
Nanda Sebastian,5,2022-04-03 02:31:57,Aplikasi yang sangat membantu kebutuhan saya.trimakasih grab sukses terus
Mega Anya,2,2022-04-03 00:40:07,Kenapa di GRAB sekarang PROMONYA dikit banget
Yusuf Nurdiansyah,2,2022-04-02 21:06:36,skarang grab jdi mahal dan makanan nya gak realtime. banyak makanan yg rating bagus rasa nya gak enak
Yusuf Nurdiansyah,2,2022-04-02 21:06:36,skarang grab jdi mahal dan makanan nya gak realtime. banyak makanan yg rating bagus rasa nya gak enak
Ester rebecca,5,2022-04-02 20:41:25,aplikasi sangat membantu...
Cendol Kuy,1,2022-04-02 20:23:22,"Parahhh baru pertama mau nyobain pake grab, verivikasinya susah benerr anehhhh, udh hampir 15 mnit gabisa"" Padahl lagi buru"" mndingan pindah lagi kesebelah,"
Agung Suranto,1,2022-04-02 20:07:41,"Dapat driver food sombong gak sopan ,,masa pesanan saya langsung di batalin,,padahal saya mau buat sahur & di sni susah cari drivernya yang lain lama prosesnya gak kaya di apk sebelah"
Septia Rahayu,4,2022-04-02 16:06:06,Tolong lebih sering lg voucher nya yaa
Septia Rahayu,4,2022-04-02 16:06:06,Tolong lebih sering lg voucher nya yaa
Wayu Prasetyoo,4,2022-04-02 15:50:22,titik lokasi suka melenceng
Ardian 1994,1,2022-04-02 15:49:39,Aplikasinya makin sinting.... Jarak 1km ongkir 15rb -30rb Bener2 gk ada otakkkk
udin purwadi,5,2022-04-02 15:25:13,"sangat membantu dalam setiap perjalanan,terima kasih grab"
Marcel Jasri Purba,1,2022-04-02 15:09:36,"Apaan sih, saldo ovo baru diisi gabisa dipake, keluar dari appnya sebentar suruh verifikasi lagi, mumeti banget"
Marcel Jasri Purba,1,2022-04-02 15:09:36,"Apaan sih, saldo ovo baru diisi gabisa dipake, keluar dari appnya sebentar suruh verifikasi lagi, mumeti banget"
AINUN CHANEL,1,2022-04-02 15:03:53,Knapa ya klo kita masuk aplikasinya suka loading jaringannya padahal jaringan sya lancar
Rizalpelani pelani,3,2022-04-02 14:47:42,"saya kasih bintang 3,,krna belum masuk k wilayah kcmtan.mendo barat kab. bangka induk"
X _Andy,2,2022-04-02 14:29:48,"Tetap bintang 2 untuk layanan grabfood, ada nya 'pungli' berkedok biaya pesanan & promo yg berbasis kartu kredit sangat tidak menyenangkan buat customer lama seperti saya."
Imam Ghozali,5,2022-04-02 14:11:16,sangat puas dengan pelayanan di di suguhkan
karnita Diana,5,2022-04-02 14:02:02,cepat dan tepat waktu...
Sumarni Sumarni,5,2022-04-02 13:56:40,pelayanan bagus
Sahrul Wiedya,1,2022-04-02 13:37:48,"Mau pesen grab food ongkirnya mahal bgt grgr kata aplikasi grabnya hujan, padahal disini ga hujan sama sekali, tolong di perbaiki ya"
Soleh Koler,5,2022-04-02 13:31:45,Kenapa gk bisa di instal aplikasinya
Soleh Koler,5,2022-04-02 13:31:45,Kenapa gk bisa di instal aplikasinya
Suparti Virgo,5,2022-04-02 13:18:55,sangat bermanfaat disaat saat lg membutuhkan tdk perlu keluar rumah dan jln kaki hanya perlu paket data dan duduk manis sudah diantr smpe tujuan...
Gufran Mataram,5,2022-04-02 13:17:36,Hidup terasa lebih mudah
Fauzi Anggoro,1,2022-04-02 13:13:09,Entah gw nya yang salah prosedur atau fitur loginya konyol. Masuk pake Gmail terus di tanya email-nya apa eh malah muncul notif email sudah digunakan. Terus cara login email gw gimana ?
Fauzi Anggoro,1,2022-04-02 13:13:09,Entah gw nya yang salah prosedur atau fitur loginya konyol. Masuk pake Gmail terus di tanya email-nya apa eh malah muncul notif email sudah digunakan. Terus cara login email gw gimana ?
Febri Yani,5,2022-04-02 12:42:32,"Sopir""nya ramah dan terpercaya"
Muhammad Ilham,1,2022-04-02 12:33:04,"Makin ga masuk akal, pesan grab food ada biaya pemesanan lagi . Terus di minta biaya parkir lagi, udah ongkos nya mahal bgt skrg. Makin buruk pelayanan nya grab skrg."
Ws Chanel,1,2022-04-02 12:04:02,Top up banyak tiba-tiba akun di tangguhkan tanpa ada laporan alasan penangguhan lewat email. Mengecewakan duit yg di top up kan bagaimana itu!
Ws Chanel,1,2022-04-02 12:04:02,Top up banyak tiba-tiba akun di tangguhkan tanpa ada laporan alasan penangguhan lewat email. Mengecewakan duit yg di top up kan bagaimana itu!
aad rizal,2,2022-04-02 11:59:53,Payah untuk grabfoodnya. Order makanan tapi cuma bisa di proses pertama proses berikutnya keluar notifikasi pengemudi sibuk. Makin kesini makin kacau aplikasi ini.
aad rizal,2,2022-04-02 11:59:53,Payah untuk grabfoodnya. Order makanan tapi cuma bisa di proses pertama proses berikutnya keluar notifikasi pengemudi sibuk. Makin kesini makin kacau aplikasi ini.
Muhammad Ragil Ramadhan,1,2022-04-02 11:54:25,"Underrated banget, dikirain udah bisa mesen grabbike nya eh ternyata harus verifikasi pake selfie, secara kan saya blom punya kartu kredit atau sejenisnya, trus juga hape saya katanya nggak ngedukung buat selfie, bukan nya mepersingkat, eh malah meperlambat jdinya ..."
Muhammad Ragil Ramadhan,1,2022-04-02 11:54:25,"Underrated banget, dikirain udah bisa mesen grabbike nya eh ternyata harus verifikasi pake selfie, secara kan saya blom punya kartu kredit atau sejenisnya, trus juga hape saya katanya nggak ngedukung buat selfie, bukan nya mepersingkat, eh malah meperlambat jdinya ..."
Reynaldi Muchtar,1,2022-04-02 11:36:01,"Error Mulu... Benerin Kek, Lama"" Uninstall Juga Nih 🤬🤬🤬"
Dyah Ayu Lestari,2,2022-04-02 11:29:18,Kenapa sekarang food sama martnya kecampurrr si
Erlin Sulistianingsih,2,2022-04-02 11:22:25,"kenapa setiap mesen harus pake verifikasi foto dulu, agak ribet deh sekarang grab"
Tika Felanda Widari,1,2022-04-02 11:16:43,Saya pilih grabfood tapi yg keluar banyak banget malah promo dari grab mart. Itu ganggu banget dan buat susah kami cari restoran buat order.
Tika Felanda Widari,1,2022-04-02 11:16:43,Saya pilih grabfood tapi yg keluar banyak banget malah promo dari grab mart. Itu ganggu banget dan buat susah kami cari restoran buat order.
Ali Imron,5,2022-04-02 11:12:53,sangat sangat membantu
Mitra Pratama,2,2022-04-02 11:09:46,"Driver Mobi nya banyak yg gaya, sering di cancel tanpa alasan yg jelas,terutama driver yg mobil nya punya pribadi sendiri tolong buat admin Grab car kasi tau ke driver grabcar jangan belagu niat cari uang atau tidak"
Muhammad Ferdi Ansyah,1,2022-04-02 10:37:02,"Hlo min pihak grb tolong ya kl mau bekukan akun tolong di beri tindakan dulu Jan asal di bekukan asal ya,saya login ke akun saya kenapa tiba tiba ke logout langsung ke bekukan mana disitu banyak saldo ovo saya kl begini siapa yg tanggung jawab min akun saya yg di bekukan ada 6 cara ngembalikan nya gimana biar tidak dibekukan lagi"
Muhammad Ferdi Ansyah,1,2022-04-02 10:37:02,"Hlo min pihak grb tolong ya kl mau bekukan akun tolong di beri tindakan dulu Jan asal di bekukan asal ya,saya login ke akun saya kenapa tiba tiba ke logout langsung ke bekukan mana disitu banyak saldo ovo saya kl begini siapa yg tanggung jawab min akun saya yg di bekukan ada 6 cara ngembalikan nya gimana biar tidak dibekukan lagi"
Yenni Fitria,5,2022-04-02 10:33:08,pengemudi cepat menemukan alamat
Pradikso Faatih Yudiono,1,2022-04-02 10:22:14,"Driver sering alesan lupa matiin apk udah nunggu lama malah dicancel driver dengan alasan tersebut, nunggu lama udah ada driver tiba-tiba nunggu lagi karena driver hilang dan ga bisa dicancel dalam posisi itu"
Pradikso Faatih Yudiono,1,2022-04-02 10:22:14,"Driver sering alesan lupa matiin apk udah nunggu lama malah dicancel driver dengan alasan tersebut, nunggu lama udah ada driver tiba-tiba nunggu lagi karena driver hilang dan ga bisa dicancel dalam posisi itu"
Nur Alam,3,2022-04-02 09:49:45,"Petanya ga lengkap, di google maps ada tapi pas search di grab ga ada, jadi susah pas mau masukan titik lokaso yg tepat"
Leander Kevin,1,2022-04-02 08:01:37,Semakin hari semakim buruk. Terlalu banyak hal tidak jelas seperti penambahan biaya saat memesan dan harga bike yg tidak jelas
Pante JL,1,2022-04-02 07:26:16,"Jangan Kasih Notif di inbox kalau kode ny tidak bisa pake , Buka Inbox Senang ada kode Voucher , Pas mau di input , tidak keluar kode voucher ny , buat kesal saja"
bebeb bowie,5,2022-04-02 06:48:09,pengiriman tepat waktu
Maulana Nuril,1,2022-04-02 06:37:07,"Jelek banget ni apk, update gk jalan jalan nge stak terus"
A_ Ghoni,5,2022-04-02 06:29:43,aplikasi yg sangat bermanfaat
Mochamad Ilham aziz,5,2022-04-02 06:09:11,pelayanan yang sangat hebat
Wahyu Mustika Rahmad,2,2022-04-02 06:01:54,koq mahal sekarang dan drivernya jauh amat
Wahyu Mustika Rahmad,2,2022-04-02 06:01:54,koq mahal sekarang dan drivernya jauh amat
Rani Handayani,1,2022-04-02 05:45:05,"Apk grab skrng knp si, setiap saya mau pesan suka langsung keluar + di suruh log in lagi, dulu pas pertama"" pake ga gini, kecewa banget sumpah !!!!!! nyusahin orang di saat mepet !!!!!"
Rani Handayani,1,2022-04-02 05:45:05,"Apk grab skrng knp si, setiap saya mau pesan suka langsung keluar + di suruh log in lagi, dulu pas pertama"" pake ga gini, kecewa banget sumpah !!!!!! nyusahin orang di saat mepet !!!!!"
Novi Putri Pamungkas,1,2022-04-02 05:20:25,Sudah pesann..jm 11:30 ..blm dapat driver..sampe jm 12:30 ..d batalin gk bisa..ovo suda kepotong... Aplikasi sebaik.ny d perbarui..supaya pengguna nyaman!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Novi Putri Pamungkas,1,2022-04-02 05:20:25,Sudah pesann..jm 11:30 ..blm dapat driver..sampe jm 12:30 ..d batalin gk bisa..ovo suda kepotong... Aplikasi sebaik.ny d perbarui..supaya pengguna nyaman!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Fadia Nurul,5,2022-04-02 05:08:52,bagus apk nya sangat membantu saya
Fadia Nurul,5,2022-04-02 05:08:52,bagus apk nya sangat membantu saya
Kharismaya Linda,3,2022-04-02 04:59:36,ndak pernah dapet voucher promo biaya pemesanan juga mahal
Khanza Khanza,5,2022-04-02 04:57:08,ternyata nyaman naik grab yg bawa nya pun santai enk..santai juga makasih pak grab
Adelia anita,5,2022-04-02 04:54:09,Apkny sangat membantu buat orang yng g bisa naik montor
Vita Wuwungan,1,2022-04-02 04:47:52,Ini kenapa ya grabfood udah ga bisa pake diskon..40% padahal resto udah nyantumin disc tapi disc ga ada yg muncul..sama kalo lagi pesen grabcar alamat ssh bgt di cantumin di penjemputan sama tujuan..
Vita Wuwungan,1,2022-04-02 04:47:52,Ini kenapa ya grabfood udah ga bisa pake diskon..40% padahal resto udah nyantumin disc tapi disc ga ada yg muncul..sama kalo lagi pesen grabcar alamat ssh bgt di cantumin di penjemputan sama tujuan..
fauzi ozi,5,2022-04-02 04:30:57,"Grab penjemputan tercepat dan terdekat,mantap"
Budi Man,4,2022-04-02 04:23:48,Msh jarang pakai Grab sementara blm ada coment
Samson Wahyudi,1,2022-04-02 04:19:18,notifikasi email nya gak masuk - masuk sudah coba ber ulang2.
Rumiyatun Atun,5,2022-04-02 04:08:04,Aplikasi nya sangat membantu banget 🥰
Rumiyatun Atun,5,2022-04-02 04:08:04,Aplikasi nya sangat membantu banget 🥰
Bagas Ardhana,1,2022-04-02 04:03:32,Milih titik nya susah banget.. setiap kali buka grab harus memperbarui alamat
DHIRA DIRDUT,1,2022-04-02 04:02:20,Kenapa akun saya di tangguhkan ya?? Sudah beberapa kali banding2 gitu malah cape.. Pdahal jarang di pake juga pas mau login di tangguhkan.. Mohon di perhatikan grab!!!
DHIRA DIRDUT,1,2022-04-02 04:02:20,Kenapa akun saya di tangguhkan ya?? Sudah beberapa kali banding2 gitu malah cape.. Pdahal jarang di pake juga pas mau login di tangguhkan.. Mohon di perhatikan grab!!!
Kusyati Komari,5,2022-04-02 03:57:13,"Sampai saat ini, menurut aku ya, grab lbh murah dr tetangga. Smg amanah ttp terjaga. Semakun maju pelayannya, jd byk customer yg puas dg pelayanan grab. Semangaaaat 🙏🙏🙏😊💪"
Kusyati Komari,5,2022-04-02 03:57:13,"Sampai saat ini, menurut aku ya, grab lbh murah dr tetangga. Smg amanah ttp terjaga. Semakun maju pelayannya, jd byk customer yg puas dg pelayanan grab. Semangaaaat 🙏🙏🙏😊💪"
William Tjiptade,5,2022-04-02 03:20:56,Layanannya bagus
Erni Widayanti,5,2022-04-02 03:15:52,Pelayanannya mantap
Muhammad Sopiyandi,5,2022-04-02 03:00:11,pengemudi.ramah.nyaman .aman. & sopan
Elina Austin,2,2022-04-02 02:46:20,Saya mengunakan grab sudah lama sekali sekitar 3 tahun..makin kesini makin buruk Kenapa harga tarif mahal terus nga turun2 .. padahal tidak di jam sibuk.. dan voucer nga bisa digunakan semua.. buat apa kasih promo🥴
Elina Austin,2,2022-04-02 02:46:20,Saya mengunakan grab sudah lama sekali sekitar 3 tahun..makin kesini makin buruk Kenapa harga tarif mahal terus nga turun2 .. padahal tidak di jam sibuk.. dan voucer nga bisa digunakan semua.. buat apa kasih promo🥴
Dema Febriyanti,5,2022-04-02 02:27:05,sangat sangat memuaskan 👍
Supri Yadi,1,2022-04-02 01:32:16,Asuuu..... Gae akun anyar tp panggah raiso pdhl jg gae email lan no anyar. Aplikasi goblok
Lina Raya,4,2022-04-02 00:20:10,supirnya ramah dan sopan
aurora gaming,4,2022-04-01 23:28:50,Habis update kenapa jadi lemot....
Azish Hasan,4,2022-04-01 22:18:25,Mantap grab superapp mantap.sangat membantu
Wahyu maulana Wijaya,1,2022-04-01 21:41:56,Mulai aneh app nya. Di buat lokasi nya kemana eh titik nya di mana.....😒😒😒
Wahyu maulana Wijaya,1,2022-04-01 21:41:56,Mulai aneh app nya. Di buat lokasi nya kemana eh titik nya di mana.....😒😒😒
Samsul Arifin,1,2022-04-01 20:35:37,Ini gimana .. pesanan di terima .. sudah nunggu hampir 3 jam .. driver di hubungi gak bisa .. di cancel gak bisa .. padahal jaraknya deket .. parah BANGET .
Samsul Arifin,1,2022-04-01 20:35:37,Ini gimana .. pesanan di terima .. sudah nunggu hampir 3 jam .. driver di hubungi gak bisa .. di cancel gak bisa .. padahal jaraknya deket .. parah BANGET .
Re Rr,5,2022-04-01 20:10:56,Terima kasih layanan nya
Hanafi Harris,5,2022-04-01 19:52:54,"Layanan oke, sayang tidak sesuai dengan kenyataan di lapangan, posisi drop off pick up di stasiun Malang tidak berlaku, harus keluar stasiun dulu ke jalan umum, padahal tanda pick up sudah jelas di pintu kedatangan stasiun Malang tapi grabcar dilarang pick up di depan pick up point itu"
Whywidz xtremely,5,2022-04-01 19:36:37,Ketika lapar dengan aplikasi pemesanan ini saya jadi gk masuk angin....
Endayani Herlina,2,2022-04-01 19:34:04,"Kenapa setiap aku buka aplikasi selalu disuruh up date ,tapi setiap aku mau memperbaharui aplikasi tp tidak bisa sedangkan aku setiap hari selalu menggunakan jasa grab."
NutriSari Ku,1,2022-04-01 18:06:32,"Promo grabfood gak jelas udah di filter promo malah gk bisa dipake, ngeselinnya lagi pake filter ongkir misal < 5 Ribu di jam sekian ada tapi satu jam kedepan ongkir berubah jadi 12 Ribu di resto dan lokasi yang sama dan lokasi pengiriman yang sama."
NutriSari Ku,1,2022-04-01 18:06:32,"Promo grabfood gak jelas udah di filter promo malah gk bisa dipake, ngeselinnya lagi pake filter ongkir misal < 5 Ribu di jam sekian ada tapi satu jam kedepan ongkir berubah jadi 12 Ribu di resto dan lokasi yang sama dan lokasi pengiriman yang sama."
Lukman L,4,2022-04-01 16:51:17,Sekarang sudah lumayan kak nggak seperti dulu2.
Deny Hermawan,3,2022-04-01 16:34:17,"Tolong dong di perbaiki untuk pengguna baru jangan asal di setujuu aja, udah 3x saya sebagai driver kena orderan fiktif"
Galih Prambudhi,1,2022-04-01 16:14:00,"Mau makan kudu update aplikasi,, mau ini itu kudu update aplikasi... Apa2 harus update & sering bgt pembaruan.. padahal isinya sama aja.. lo mau jualan aplikasi di play store.. ribet.. yukk ahh pindah ke GOJEK AJA... simple"
harminto mimin,1,2022-04-01 14:53:03,Saya tidak bisa memesan pesanan seperti biasa dan tidak ada respon sama sekali dari pihak grab untuk masalah tersebut
Arie Bgt,3,2022-04-01 14:46:21,Grabfood kalau hujan aplikasi tidak bisa di pake...resto tutup semua...padahal buka
Moehamad Soebhi Prayoga,1,2022-04-01 14:25:40,"sinyal di apak lain, stabil, cuma d apk grab yg bilang lambat"
Muhammad Hafidz Ro'san,1,2022-04-01 14:07:09,"Ongkirnya sekarang mahal, cuma mau makan 15 rb ongkirnya sampe 11 rb, padahal kemaren ongkirnya cuma 3 rb. Perasaan BBM naik cuma sekitar 3.500 gak sampe 8 rb cuy."
yudi bagol,5,2022-04-01 14:04:21,"menjadi terpercaya,mengutamakan kecepatan,dan berkualitas."
Iis Ernawati,1,2022-04-01 13:54:23,"Makin ga jelas alamat rmh malah jadi tidak muncul di peta, titik lokasi jd ilang. Jadi susah bikin alamat karena yg muncu malah beda lokasi nya"
muhammad ivan,1,2022-04-01 13:53:30,Apa apa an tiba2 akun ditangguhkan padal ya gak ngapa2in
Flowerin Virgin,1,2022-04-01 13:49:40,Kenapa akun saya ditangguhkan stelah mengisi ovo??? Padahal saya gak pernah membatalkan pesanan dll... Tolong buka kembali akun saya!!!!
Muhamad Marzyto,5,2022-04-01 13:46:38,"mantap ,tapi driver nya bnyak ga mau ambil jauh . jdi di cancel trus sya pesan grab mau arah pulang."
Tania Pratiwi,1,2022-04-01 11:46:54,INI KNPA TIDAK BISA LOGIN..SAYA BERKALI KALI SUDH LOGIN TETAP TIDAK BISA!!!!!
Tania Pratiwi,1,2022-04-01 11:46:54,INI KNPA TIDAK BISA LOGIN..SAYA BERKALI KALI SUDH LOGIN TETAP TIDAK BISA!!!!!
